spot_id,order,name,description,images
miyanoura-port,20,帰路,,https://summer-pockets.main.jp/wp-content/uploads/2025/04/025.jpg|https://summer-pockets.main.jp/wp-content/uploads/2025/04/026.jpg|https://summer-pockets.main.jp/wp-content/uploads/2025/04/027.jpg
iwata,1,駄菓子屋,"各キャラクターが集う駄菓子屋は、「イワタコンフェクト」がモデルとなっています。

残念ながら2023年の2月末日で閉店となりました。創業60年とのことですが、長い間お疲れ様でございました。そしてサマポケファンを魅了するお店のご対応に感謝しております。

私は2022年の8月に行きましたが、そのときにはすでにドリンクストッカーもアイスケースもなく、イラスト通りには撮影できませんでいたが、ここで島のみんなが集っていたと思うと嬉しくなりましたね。

これらはすべて、ここ周辺が聖地となります。あたりを見渡せばすぐにわかると思います。

※個人宅が映りこむ聖地は場所を掲載していません",https://summer-pockets.main.jp/wp-content/uploads/2024/07/iwata-3.jpg|https://summer-pockets.main.jp/wp-content/uploads/2024/07/iwata-2-1.jpg|https://summer-pockets.main.jp/wp-content/uploads/2025/04/035.jpg|https://summer-pockets.main.jp/wp-content/uploads/2025/04/a036.jpg|https://summer-pockets.main.jp/wp-content/uploads/2025/04/a037.jpg|https://summer-pockets.main.jp/wp-content/uploads/2025/06/ed1_11.png|https://summer-pockets.main.jp/wp-content/uploads/2025/06/op-scaled.jpg|https://summer-pockets.main.jp/wp-content/uploads/2025/06/121.jpg|https://summer-pockets.main.jp/wp-content/uploads/2025/06/123.jpg|https://summer-pockets.main.jp/wp-content/uploads/2025/06/118.jpg|https://summer-pockets.main.jp/wp-content/uploads/2025/06/117.jpg|https://summer-pockets.main.jp/wp-content/uploads/2025/07/138.jpg
iwata,2,スイカ…バー！,私が行った2022年にはもうアイスストッカーがなく、撮影できませんでした。どなたかこの画角で写真を撮られた方、写真を譲ってください！,https://summer-pockets.main.jp/wp-content/uploads/2024/07/iwata-1.jpg
iwata,3,すれ違い,"アニメでは場所が変更されていましたが、ゲーム作品では駄菓子屋の前でイベントが発生しています。

こちらも撮り忘れてしまったので、当時撮られた方、写真を募集中です。",https://summer-pockets.main.jp/wp-content/uploads/2024/07/iwata-4.jpg
iwata,4,どこぶっかけてんのよ！,,https://summer-pockets.main.jp/wp-content/uploads/2025/06/118.jpg|https://summer-pockets.main.jp/wp-content/uploads/2025/06/121-1024x576.jpg|https://summer-pockets.main.jp/wp-content/uploads/2025/06/123-1024x576.jpg
ishii,1,加藤家,"羽依里が夏休みを過ごす加藤家は、「民宿 石井商店」がモデルとなっています。

石井商店さんのInstagramより宿泊予約が可能です。

お部屋の鏡台には、聖地巡礼者の思いがいっぱいつまったノートや、サマポケに関する冊子がありましたので、ぜひ見てみてくださいね。室内からお風呂まで、忠実に再現されています。
 

📷石井商店さんのInstagram",https://summer-pockets.main.jp/wp-content/uploads/2024/07/kato1.jpg|https://summer-pockets.main.jp/wp-content/uploads/2024/07/kato2.jpg|https://summer-pockets.main.jp/wp-content/uploads/2025/04/a013.jpg|https://summer-pockets.main.jp/wp-content/uploads/2025/04/a014.jpg|https://summer-pockets.main.jp/wp-content/uploads/2025/04/a015.jpg|https://summer-pockets.main.jp/wp-content/uploads/2025/05/062.jpg|https://summer-pockets.main.jp/wp-content/uploads/2025/06/ed1_3.jpg|https://summer-pockets.main.jp/wp-content/uploads/2025/08/anime19.jpg|https://summer-pockets.main.jp/wp-content/uploads/2025/06/109.jpg|https://summer-pockets.main.jp/wp-content/uploads/2025/06/110.jpg
ishii,2,玄関,玄関も忠実に再現してくれています。,https://summer-pockets.main.jp/wp-content/uploads/2025/05/kato1_r.jpg|https://summer-pockets.main.jp/wp-content/uploads/2024/07/kato3.jpg
ishii,3,居間,うまく撮れなかったのと、ちょっと様変わりしてしまったかな？　もう少し早く行きたかったです。,https://summer-pockets.main.jp/wp-content/uploads/2025/05/kato2_r.jpg|https://summer-pockets.main.jp/wp-content/uploads/2024/07/kato5.jpg
ishii,4,羽依里の部屋,おおよそ、ゲーム作品の頃のままでした。,https://summer-pockets.main.jp/wp-content/uploads/2025/05/kato4_r.jpg|https://summer-pockets.main.jp/wp-content/uploads/2024/07/kato4.jpg
ishii,5,しろはとうみちゃん,居間から見える庭の様子は、ノスタルジーな夏を感じさせてくれます。,https://summer-pockets.main.jp/wp-content/uploads/2025/05/kato8_r.jpg|https://summer-pockets.main.jp/wp-content/uploads/2024/07/kato8.jpg
